
TOP 5 CONFIGS (sorted by best_val_accuracy):
==================================================
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4605, 'final_val_accuracy': 0.4573, 'mean_gap': 0.0692090909090909}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4603, 'final_val_accuracy': 0.4389, 'mean_gap': 0.134496875}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4598, 'final_val_accuracy': 0.4494, 'mean_gap': 0.05355833333333334}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4591, 'final_val_accuracy': 0.3877, 'mean_gap': 0.15398958333333335}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4589, 'final_val_accuracy': 0.4436, 'mean_gap': 0.12116538461538462}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4589, 'final_val_accuracy': 0.4487, 'mean_gap': 0.1253818181818182}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4585, 'final_val_accuracy': 0.4434, 'mean_gap': 0.1555541666666667}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4584, 'final_val_accuracy': 0.4571, 'mean_gap': 0.13579807692307694}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4578, 'final_val_accuracy': 0.4436, 'mean_gap': 0.11621153846153846}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.457, 'final_val_accuracy': 0.4491, 'mean_gap': 0.13979791666666666}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4567, 'final_val_accuracy': 0.4565, 'mean_gap': 0.12000000000000001}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.456, 'final_val_accuracy': 0.4281, 'mean_gap': 0.12912115384615383}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.456, 'final_val_accuracy': 0.4431, 'mean_gap': 0.09975250000000001}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4552, 'final_val_accuracy': 0.4531, 'mean_gap': 0.117675}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4549, 'final_val_accuracy': 0.4531, 'mean_gap': 0.15357777777777776}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4547, 'final_val_accuracy': 0.4488, 'mean_gap': 0.0744019230769231}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4545, 'final_val_accuracy': 0.4374, 'mean_gap': 0.12409791666666665}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4536, 'final_val_accuracy': 0.4503, 'mean_gap': 0.11299318181818184}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.453, 'final_val_accuracy': 0.4471, 'mean_gap': 0.09460192307692307}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4528, 'final_val_accuracy': 0.4075, 'mean_gap': 0.11681250000000001}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4515, 'final_val_accuracy': 0.438, 'mean_gap': 0.16111923076923076}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4513, 'final_val_accuracy': 0.4354, 'mean_gap': 0.10105909090909092}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4512, 'final_val_accuracy': 0.4453, 'mean_gap': 0.11111499999999999}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4483, 'final_val_accuracy': 0.4201, 'mean_gap': 0.10863653846153848}
